Date,Open,High,Low,Close,Adj Close,Volume
2015-12-09,74583.703125,74583.703125,74583.703125,74583.703125,74583.703125,0
2015-12-10,72354.203125,72354.203125,72354.203125,72354.203125,72354.203125,0
2015-12-11,70280.296875,70280.296875,70280.296875,70280.296875,70280.296875,0
2015-12-14,69308.703125,69308.703125,69308.703125,69308.703125,69308.703125,0
2015-12-15,72156.796875,72156.796875,72156.796875,72156.796875,72156.796875,0
2015-12-16,72831.796875,72831.796875,72831.796875,72831.796875,72831.796875,0
2015-12-17,73711.898438,73711.898438,73711.898438,73711.898438,73711.898438,0
2015-12-18,72460.398438,72460.398438,72460.398438,72460.398438,72460.398438,0
2015-12-21,73328.203125,73328.203125,73328.203125,73328.203125,73328.203125,0
2015-12-22,73102.101563,73102.101563,73102.101563,73102.101563,73102.101563,0
2015-12-23,74044.898438,74044.898438,74044.898438,74044.898438,74044.898438,0
2015-12-24,74189.500000,74189.500000,74189.500000,74189.500000,74189.500000,0
2015-12-25,74189.500000,74189.500000,74189.500000,74189.500000,74189.500000,0
2015-12-28,74243.203125,74243.203125,74243.203125,74243.203125,74243.203125,0
2015-12-29,73912.601563,73912.601563,73912.601563,73912.601563,73912.601563,0
2015-12-30,73200.703125,73200.703125,73200.703125,73200.703125,73200.703125,0
2015-12-31,71727.000000,71727.000000,71727.000000,71727.000000,71727.000000,0
2016-01-01,null,null,null,null,null,null
2016-01-04,70518.398438,70518.398438,70518.398438,70518.398438,70518.398438,0
2016-01-05,70688.101563,70688.101563,70688.101563,70688.101563,70688.101563,0
2016-01-06,71197.898438,71197.898438,71197.898438,71197.898438,71197.898438,0
2016-01-07,71495.898438,71495.898438,71495.898438,71495.898438,71495.898438,0
2016-01-08,70613.203125,70613.203125,70613.203125,70613.203125,70613.203125,0
2016-01-11,71049.000000,71049.000000,71049.000000,71049.000000,71049.000000,0
2016-01-12,71740.398438,71740.398438,71740.398438,71740.398438,71740.398438,0
2016-01-13,72508.703125,72508.703125,72508.703125,72508.703125,72508.703125,0
2016-01-14,71940.601563,71940.601563,71940.601563,71940.601563,71940.601563,0
2016-01-15,71062.000000,71062.000000,71062.000000,71062.000000,71062.000000,0
2016-01-18,71039.703125,71039.703125,71039.703125,71039.703125,71039.703125,0
2016-01-19,71073.203125,71073.203125,71073.203125,71073.203125,71073.203125,0
2016-01-20,69604.000000,69604.000000,69604.000000,69604.000000,69604.000000,0
2016-01-21,68567.898438,68567.898438,68567.898438,68567.898438,68567.898438,0
2016-01-22,70243.898438,70243.898438,70243.898438,70243.898438,70243.898438,0
2016-01-25,70539.000000,70539.000000,70539.000000,70539.000000,70539.000000,0
2016-01-26,71808.898438,71808.898438,71808.898438,71808.898438,71808.898438,0
2016-01-27,72052.898438,72052.898438,72052.898438,72052.898438,72052.898438,0
2016-01-28,72427.398438,72427.398438,72427.398438,72427.398438,72427.398438,0
2016-01-29,73481.101563,73481.101563,73481.101563,73481.101563,73481.101563,0
2016-02-01,73447.703125,73447.703125,73447.703125,73447.703125,73447.703125,0
2016-02-02,72506.203125,72506.203125,72506.203125,72506.203125,72506.203125,0
2016-02-03,73267.398438,73267.398438,73267.398438,73267.398438,73267.398438,0
2016-02-04,74505.398438,74505.398438,74505.398438,74505.398438,74505.398438,0
2016-02-05,74203.500000,74203.500000,74203.500000,74203.500000,74203.500000,0
2016-02-08,72005.203125,72005.203125,72005.203125,72005.203125,72005.203125,0
2016-02-09,71415.203125,71415.203125,71415.203125,71415.203125,71415.203125,0
2016-02-10,71614.203125,71614.203125,71614.203125,71614.203125,71614.203125,0
2016-02-11,70941.601563,70941.601563,70941.601563,70941.601563,70941.601563,0
2016-02-12,70937.398438,70937.398438,70937.398438,70937.398438,70937.398438,0
2016-02-15,71008.101563,71008.101563,71008.101563,71008.101563,71008.101563,0
2016-02-16,70949.203125,70949.203125,70949.203125,70949.203125,70949.203125,0
2016-02-17,72805.101563,72805.101563,72805.101563,72805.101563,72805.101563,0
2016-02-18,73446.500000,73446.500000,73446.500000,73446.500000,73446.500000,0
2016-02-19,73015.398438,73015.398438,73015.398438,73015.398438,73015.398438,0
2016-02-22,74893.898438,74893.898438,74893.898438,74893.898438,74893.898438,0
2016-02-23,75499.796875,75499.796875,75499.796875,75499.796875,75499.796875,0
2016-02-24,74067.203125,74067.203125,74067.203125,74067.203125,74067.203125,0
2016-02-25,75201.898438,75201.898438,75201.898438,75201.898438,75201.898438,0
2016-02-26,74929.000000,74929.000000,74929.000000,74929.000000,74929.000000,0
2016-02-29,75814.398438,75814.398438,75814.398438,75814.398438,75814.398438,0
2016-03-01,75955.398438,75955.398438,75955.398438,75955.398438,75955.398438,0
2016-03-02,76788.000000,76788.000000,76788.000000,76788.000000,76788.000000,0
2016-03-03,76828.296875,76828.296875,76828.296875,76828.296875,76828.296875,0
2016-03-04,77191.101563,77191.101563,77191.101563,77191.101563,77191.101563,0
2016-03-07,77483.898438,77483.898438,77483.898438,77483.898438,77483.898438,0
2016-03-08,77682.898438,77682.898438,77682.898438,77682.898438,77682.898438,0
2016-03-09,78738.203125,78738.203125,78738.203125,78738.203125,78738.203125,0
2016-03-10,79024.703125,79024.703125,79024.703125,79024.703125,79024.703125,0
2016-03-11,79380.203125,79380.203125,79380.203125,79380.203125,79380.203125,0
2016-03-14,80110.898438,80110.898438,80110.898438,80110.898438,80110.898438,0
2016-03-15,79031.101563,79031.101563,79031.101563,79031.101563,79031.101563,0
2016-03-16,79369.203125,79369.203125,79369.203125,79369.203125,79369.203125,0
2016-03-17,81377.101563,81377.101563,81377.101563,81377.101563,81377.101563,0
2016-03-18,82943.398438,82943.398438,82943.398438,82943.398438,82943.398438,0
2016-03-21,83402.703125,83402.703125,83402.703125,83402.703125,83402.703125,0
2016-03-22,81766.101563,81766.101563,81766.101563,81766.101563,81766.101563,0
2016-03-23,80383.703125,80383.703125,80383.703125,80383.703125,80383.703125,0
2016-03-24,81358.398438,81358.398438,81358.398438,81358.398438,81358.398438,0
2016-03-25,81356.500000,81356.500000,81356.500000,81356.500000,81356.500000,0
2016-03-28,81356.500000,81356.500000,81356.500000,81356.500000,81356.500000,0
2016-03-29,81733.601563,81733.601563,81733.601563,81733.601563,81733.601563,0
2016-03-30,82917.796875,82917.796875,82917.796875,82917.796875,82917.796875,0
2016-03-31,83268.000000,83268.000000,83268.000000,83268.000000,83268.000000,0
2016-04-01,82359.398438,82359.398438,82359.398438,82359.398438,82359.398438,0
2016-04-04,83872.898438,83872.898438,83872.898438,83872.898438,83872.898438,0
2016-04-05,82964.101563,82964.101563,82964.101563,82964.101563,82964.101563,0
2016-04-06,81511.296875,81511.296875,81511.296875,81511.296875,81511.296875,0
2016-04-07,81164.703125,81164.703125,81164.703125,81164.703125,81164.703125,0
2016-04-08,null,null,null,null,null,null
2016-04-11,83987.500000,83987.500000,83987.500000,83987.500000,83987.500000,0
2016-04-12,83719.796875,83719.796875,83719.796875,83719.796875,83719.796875,0
2016-04-13,85696.703125,85696.703125,85696.703125,85696.703125,85696.703125,0
2016-04-14,85785.000000,85785.000000,85785.000000,85785.000000,85785.000000,0
2016-04-15,85573.203125,85573.203125,85573.203125,85573.203125,85573.203125,0
2016-04-18,86343.601563,86343.601563,86343.601563,86343.601563,86343.601563,0
2016-04-19,86251.000000,86251.000000,86251.000000,86251.000000,86251.000000,0
2016-04-20,85550.203125,85550.203125,85550.203125,85550.203125,85550.203125,0
2016-04-21,85670.796875,85670.796875,85670.796875,85670.796875,85670.796875,0
2016-04-22,85828.703125,85828.703125,85828.703125,85828.703125,85828.703125,0
2016-04-25,85109.398438,85109.398438,85109.398438,85109.398438,85109.398438,0
2016-04-26,85756.398438,85756.398438,85756.398438,85756.398438,85756.398438,0
2016-04-27,85374.203125,85374.203125,85374.203125,85374.203125,85374.203125,0
2016-04-28,85477.796875,85477.796875,85477.796875,85477.796875,85477.796875,0
2016-04-29,85327.796875,85327.796875,85327.796875,85327.796875,85327.796875,0
2016-05-02,83829.898438,83829.898438,83829.898438,83829.898438,83829.898438,0
2016-05-03,81069.796875,81069.796875,81069.796875,81069.796875,81069.796875,0
2016-05-04,79382.601563,79382.601563,79382.601563,79382.601563,79382.601563,0
2016-05-05,78698.796875,78698.796875,78698.796875,78698.796875,78698.796875,0
2016-05-06,78368.101563,78368.101563,78368.101563,78368.101563,78368.101563,0
2016-05-09,79062.101563,79062.101563,79062.101563,79062.101563,79062.101563,0
2016-05-10,78802.398438,78802.398438,78802.398438,78802.398438,78802.398438,0
2016-05-11,79027.796875,79027.796875,79027.796875,79027.796875,79027.796875,0
2016-05-12,78304.203125,78304.203125,78304.203125,78304.203125,78304.203125,0
2016-05-13,77808.398438,77808.398438,77808.398438,77808.398438,77808.398438,0
2016-05-16,76999.703125,76999.703125,76999.703125,76999.703125,76999.703125,0
2016-05-17,77277.203125,77277.203125,77277.203125,77277.203125,77277.203125,0
2016-05-18,77243.898438,77243.898438,77243.898438,77243.898438,77243.898438,0
2016-05-19,null,null,null,null,null,null
2016-05-20,76357.703125,76357.703125,76357.703125,76357.703125,76357.703125,0
2016-05-23,76765.898438,76765.898438,76765.898438,76765.898438,76765.898438,0
2016-05-24,79434.601563,79434.601563,79434.601563,79434.601563,79434.601563,0
2016-05-25,78609.101563,78609.101563,78609.101563,78609.101563,78609.101563,0
2016-05-26,78035.601563,78035.601563,78035.601563,78035.601563,78035.601563,0
2016-05-27,78028.898438,78028.898438,78028.898438,78028.898438,78028.898438,0
2016-05-30,78535.203125,78535.203125,78535.203125,78535.203125,78535.203125,0
2016-05-31,77803.398438,77803.398438,77803.398438,77803.398438,77803.398438,0
2016-06-01,77034.898438,77034.898438,77034.898438,77034.898438,77034.898438,0
2016-06-02,76272.101563,76272.101563,76272.101563,76272.101563,76272.101563,0
2016-06-03,78139.500000,78139.500000,78139.500000,78139.500000,78139.500000,0
2016-06-06,78592.796875,78592.796875,78592.796875,78592.796875,78592.796875,0
2016-06-07,78157.601563,78157.601563,78157.601563,78157.601563,78157.601563,0
2016-06-08,78832.601563,78832.601563,78832.601563,78832.601563,78832.601563,0
2016-06-09,77711.703125,77711.703125,77711.703125,77711.703125,77711.703125,0
2016-06-10,76887.296875,76887.296875,76887.296875,76887.296875,76887.296875,0
2016-06-13,76534.203125,76534.203125,76534.203125,76534.203125,76534.203125,0
2016-06-14,75759.500000,75759.500000,75759.500000,75759.500000,75759.500000,0
2016-06-15,76237.398438,76237.398438,76237.398438,76237.398438,76237.398438,0
2016-06-16,74671.703125,74671.703125,74671.703125,74671.703125,74671.703125,0
2016-06-17,75430.500000,75430.500000,75430.500000,75430.500000,75430.500000,0
2016-06-20,77523.101563,77523.101563,77523.101563,77523.101563,77523.101563,0
2016-06-21,77531.398438,77531.398438,77531.398438,77531.398438,77531.398438,0
2016-06-22,77267.500000,77267.500000,77267.500000,77267.500000,77267.500000,0
2016-06-23,77989.898438,77989.898438,77989.898438,77989.898438,77989.898438,0
2016-06-24,75366.000000,75366.000000,75366.000000,75366.000000,75366.000000,0
2016-06-27,75161.203125,75161.203125,75161.203125,75161.203125,75161.203125,0
2016-06-28,76929.296875,76929.296875,76929.296875,76929.296875,76929.296875,0
2016-06-29,76712.000000,76712.000000,76712.000000,76712.000000,76712.000000,0
2016-06-30,76817.203125,76817.203125,76817.203125,76817.203125,76817.203125,0
2016-07-01,77952.101563,77952.101563,77952.101563,77952.101563,77952.101563,0
2016-07-04,78387.703125,78387.703125,78387.703125,78387.703125,78387.703125,0
2016-07-05,null,null,null,null,null,null
2016-07-06,null,null,null,null,null,null
2016-07-07,null,null,null,null,null,null
2016-07-08,78019.500000,78019.500000,78019.500000,78019.500000,78019.500000,0
2016-07-11,79235.000000,79235.000000,79235.000000,79235.000000,79235.000000,0
2016-07-12,null,null,null,null,null,null
2016-07-13,81321.703125,81321.703125,81321.703125,81321.703125,81321.703125,0
2016-07-14,82589.796875,82589.796875,82589.796875,82589.796875,82589.796875,0
2016-07-15,82825.398438,82825.398438,82825.398438,82825.398438,82825.398438,0
2016-07-18,76957.601563,76957.601563,76957.601563,76957.601563,76957.601563,0
2016-07-19,76177.796875,76177.796875,76177.796875,76177.796875,76177.796875,0
2016-07-20,74902.796875,74902.796875,74902.796875,74902.796875,74902.796875,0
2016-07-21,71595.000000,71595.000000,71595.000000,71595.000000,71595.000000,0
2016-07-22,71738.398438,71738.398438,71738.398438,71738.398438,71738.398438,0
2016-07-25,74174.000000,74174.000000,74174.000000,74174.000000,74174.000000,0
2016-07-26,73689.398438,73689.398438,73689.398438,73689.398438,73689.398438,0
2016-07-27,75075.703125,75075.703125,75075.703125,75075.703125,75075.703125,0
2016-07-28,75244.101563,75244.101563,75244.101563,75244.101563,75244.101563,0
2016-07-29,75405.500000,75405.500000,75405.500000,75405.500000,75405.500000,0
2016-08-01,76711.703125,76711.703125,76711.703125,76711.703125,76711.703125,0
2016-08-02,75803.898438,75803.898438,75803.898438,75803.898438,75803.898438,0
2016-08-03,74552.101563,74552.101563,74552.101563,74552.101563,74552.101563,0
2016-08-04,76125.601563,76125.601563,76125.601563,76125.601563,76125.601563,0
2016-08-05,76065.703125,76065.703125,76065.703125,76065.703125,76065.703125,0
2016-08-08,77779.101563,77779.101563,77779.101563,77779.101563,77779.101563,0
2016-08-09,78524.898438,78524.898438,78524.898438,78524.898438,78524.898438,0
2016-08-10,77955.601563,77955.601563,77955.601563,77955.601563,77955.601563,0
2016-08-11,79033.601563,79033.601563,79033.601563,79033.601563,79033.601563,0
2016-08-12,78228.601563,78228.601563,78228.601563,78228.601563,78228.601563,0
2016-08-15,78472.601563,78472.601563,78472.601563,78472.601563,78472.601563,0
2016-08-16,77707.101563,77707.101563,77707.101563,77707.101563,77707.101563,0
2016-08-17,78147.796875,78147.796875,78147.796875,78147.796875,78147.796875,0
2016-08-18,77970.898438,77970.898438,77970.898438,77970.898438,77970.898438,0
2016-08-19,78145.601563,78145.601563,78145.601563,78145.601563,78145.601563,0
2016-08-22,77953.296875,77953.296875,77953.296875,77953.296875,77953.296875,0
2016-08-23,77333.601563,77333.601563,77333.601563,77333.601563,77333.601563,0
2016-08-24,76116.296875,76116.296875,76116.296875,76116.296875,76116.296875,0
2016-08-25,76789.898438,76789.898438,76789.898438,76789.898438,76789.898438,0
2016-08-26,77119.601563,77119.601563,77119.601563,77119.601563,77119.601563,0
2016-08-29,76118.796875,76118.796875,76118.796875,76118.796875,76118.796875,0
2016-08-30,null,null,null,null,null,null
2016-08-31,75967.601563,75967.601563,75967.601563,75967.601563,75967.601563,0
2016-09-01,75852.796875,75852.796875,75852.796875,75852.796875,75852.796875,0
2016-09-02,76884.296875,76884.296875,76884.296875,76884.296875,76884.296875,0
2016-09-05,77791.601563,77791.601563,77791.601563,77791.601563,77791.601563,0
2016-09-06,77994.796875,77994.796875,77994.796875,77994.796875,77994.796875,0
2016-09-07,77643.203125,77643.203125,77643.203125,77643.203125,77643.203125,0
2016-09-08,77843.500000,77843.500000,77843.500000,77843.500000,77843.500000,0
2016-09-09,77053.500000,77053.500000,77053.500000,77053.500000,77053.500000,0
2016-09-12,null,null,null,null,null,null
2016-09-13,null,null,null,null,null,null
